n_estimators,tree_depth,min_samples_split,max_features,Accuracy
10,16,20,2,0.674103
10,16,20,4,0.823077
10,16,20,8,0.882308
10,16,20,10,0.883077
10,16,20,12,0.888974
10,16,20,16,0.884872
10,16,25,2,0.662821
10,16,25,4,0.825897
10,16,25,8,0.869231
10,16,25,10,0.883846
10,16,25,12,0.881538
10,16,25,16,0.871026
10,16,30,2,0.69641
10,16,30,4,0.829487
10,16,30,8,0.867949
10,16,30,10,0.881795
10,16,30,12,0.88359
10,16,30,16,0.868462
20,4,2,2,0.69
20,4,2,4,0.762564
20,4,2,8,0.768718
20,4,2,10,0.752821
20,4,2,12,0.728718
20,4,2,16,0.673333
20,4,5,2,0.701026
20,4,5,4,0.748205
20,4,5,8,0.761282
20,4,5,10,0.748718
20,4,5,12,0.727692
20,4,5,16,0.674103
20,4,10,2,0.702564
20,4,10,4,0.75641
20,4,10,8,0.758205
20,4,10,10,0.752564
20,4,10,12,0.730513
20,4,10,16,0.684872
20,4,15,2,0.692308
20,4,15,4,0.754103
20,4,15,8,0.771282
20,4,15,10,0.744615
20,4,15,12,0.726667
20,4,15,16,0.680513
20,4,20,2,0.70359
20,4,20,4,0.771538
20,4,20,8,0.770769
20,4,20,10,0.746667
20,4,20,12,0.720256
20,4,20,16,0.679487
20,4,25,2,0.667949
20,4,25,4,0.762051
20,4,25,8,0.764103
20,4,25,10,0.748718
20,4,25,12,0.731538
20,4,25,16,0.67641
20,4,30,2,0.689487
20,4,30,4,0.749487
20,4,30,8,0.771282
20,4,30,10,0.747436
20,4,30,12,0.722308
20,4,30,16,0.669487
20,8,2,2,0.733846
20,8,2,4,0.846667
20,8,2,8,0.880256
20,8,2,10,0.877179
20,8,2,12,0.880256
20,8,2,16,0.870256
20,8,5,2,0.729487
20,8,5,4,0.850256
20,8,5,8,0.878718
20,8,5,10,0.874615
20,8,5,12,0.875128
20,8,5,16,0.870513
20,8,10,2,0.731026
20,8,10,4,0.855641
20,8,10,8,0.875128
20,8,10,10,0.878718
20,8,10,12,0.875128
20,8,10,16,0.872051
