n_estimators,tree_depth,min_samples_split,max_features,Accuracy
30,4,20,8,0.766154
30,4,20,10,0.742564
30,4,20,12,0.719744
30,4,20,16,0.660769
30,4,25,2,0.745128
30,4,25,4,0.783333
30,4,25,8,0.764359
30,4,25,10,0.749744
30,4,25,12,0.720256
30,4,25,16,0.659744
30,4,30,2,0.74641
30,4,30,4,0.759744
30,4,30,8,0.765128
30,4,30,10,0.747692
30,4,30,12,0.721282
30,4,30,16,0.652821
30,8,2,2,0.768718
30,8,2,4,0.908718
30,8,2,8,0.934615
30,8,2,10,0.94
30,8,2,12,0.934359
30,8,2,16,0.915385
30,8,5,2,0.781026
30,8,5,4,0.909744
30,8,5,8,0.936154
30,8,5,10,0.936154
30,8,5,12,0.931538
30,8,5,16,0.908718
30,8,10,2,0.780256
30,8,10,4,0.908462
30,8,10,8,0.934872
30,8,10,10,0.93641
30,8,10,12,0.932564
30,8,10,16,0.912051
30,8,15,2,0.776923
30,8,15,4,0.902564
30,8,15,8,0.94
30,8,15,10,0.937179
30,8,15,12,0.93359
30,8,15,16,0.904615
30,8,20,2,0.773333
30,8,20,4,0.903077
30,8,20,8,0.936667
30,8,20,10,0.939744
30,8,20,12,0.93
30,8,20,16,0.901538
30,8,25,2,0.789231
30,8,25,4,0.901538
30,8,25,8,0.937179
30,8,25,10,0.932308
30,8,25,12,0.926667
30,8,25,16,0.908205
30,8,30,2,0.772821
30,8,30,4,0.902821
30,8,30,8,0.927949
30,8,30,10,0.935385
30,8,30,12,0.927692
30,8,30,16,0.894103
25,4,2,2,0.732821
25,4,2,4,0.759744
25,4,2,8,0.761282
25,4,2,10,0.749744
25,4,2,12,0.73
25,4,2,16,0.661282
25,4,5,2,0.725128
25,4,5,4,0.771538
25,4,5,8,0.75
25,4,5,10,0.748974
25,4,5,12,0.722821
25,4,5,16,0.646667
25,4,10,2,0.715128
25,4,10,4,0.76359
25,4,10,8,0.759231
25,4,10,10,0.758718
25,4,10,12,0.721282
25,4,10,16,0.659744
25,4,15,2,0.725128
25,4,15,4,0.766923
25,4,15,8,0.758462
25,4,15,10,0.743333
25,4,15,12,0.715128
25,4,15,16,0.663846
25,4,20,2,0.725385
25,4,20,4,0.777692
25,4,20,8,0.767436
25,4,20,10,0.744872
25,4,20,12,0.717949
25,4,20,16,0.661026
25,4,25,2,0.722051
25,4,25,4,0.760256
25,4,25,8,0.766667
25,4,25,10,0.75359
25,4,25,12,0.726667
25,4,25,16,0.648462
25,4,30,2,0.715385
25,4,30,4,0.767692
25,4,30,8,0.765897
25,4,30,10,0.752308
25,4,30,12,0.734872
25,4,30,16,0.661026
25,8,2,2,0.756923
25,8,2,4,0.908718
25,8,2,8,0.937692
25,8,2,10,0.932564
25,8,2,12,0.934615
25,8,2,16,0.913077
25,8,5,2,0.777436
25,8,5,4,0.898718
25,8,5,8,0.935128
25,8,5,10,0.939744
25,8,5,12,0.929744
25,8,5,16,0.905385
25,8,10,2,0.771795
25,8,10,4,0.9
25,8,10,8,0.932821
